language,movie_count,avg_rating
Basque,1,7.400000095367432
上海话,20,6.769999980926514
世界语,1,7.900000095367432
东伊朗语,1,7.900000095367432
东北方言,1,6.300000190734863
东北话,2,7.0
中国方言,1,4.599999904632568
丹麦语,14,7.685714244842529
乌克兰语,9,6.888888941870795
乌兹别克语,2,6.650000095367432
乌尔都语,6,7.7999997933705645
云南方言,2,5.549999952316284
他加禄语,1,8.199999809265137
他家禄语,1,6.300000190734863
佛兰德斯语,1,8.800000190734863
俄罗斯语 Russian,1,8.0
俄语,112,7.086607126252992
俄语 Russian,1,6.199999809265137
保加利亚语,4,7.225000023841858
克丘亚语,1,7.400000095367432
克林贡语,2,5.799999952316284
克罗地亚语,3,7.300000031789144
克里奥尔语,1,5.099999904632568
内蒙古方言,1,7.099999904632568
冰岛语,8,7.474999964237213
加泰罗尼亚语,2,7.900000095367432
匈奴语,1,7.199999809265137
匈牙利语,15,7.413333320617676
北京话,1,7.300000190734863
北美印第安语,1,7.0
南京话,1,8.199999809265137
南非荷兰语,1,7.099999904632568
南非语,3,7.599999904632568
印地语,52,7.448076917574956
印地语 Hindi,1,7.400000095367432
印尼语,5,6.339999961853027
印度尼西亚语,6,7.349999984105428
印度语,1,6.900000095367432
古埃及语,1,7.699999809265137
吉尔吉斯语,1,7.599999904632568
哈萨克语,1,7.900000095367432
唐山话,1,7.699999809265137
四川方言,1,5.599999904632568
四川话,9,7.144444465637207
图阿雷格语,1,7.0
土库曼语,1,6.400000095367432
土耳其语,15,7.299999936421712
土著语,1,7.0
坎纳达语,1,7.400000095367432
塞尔维亚克罗地亚语,1,8.899999618530273
塞尔维亚语,4,7.075000166893005
天津话,2,7.0
威尔士语,1,6.699999809265137
孟加拉语,1,7.400000095367432
安徽方言,1,8.399999618530273
尼昂加语,1,8.199999809265137
尼泊尔语,1,9.0
山东方言,1,5.699999809265137
山西方言,1,7.599999904632568
山西话,2,8.400000095367432
巴斯克语,1,6.800000190734863
希伯来语,15,7.273333295186361
希腊语,7,7.6285713740757535
库尔德语,1,6.5
弗拉芒语,2,7.800000190734863
德语,135,7.574074070541947
意大利语,79,7.329113960266113
意第绪语,1,7.599999904632568
手语,3,7.599999904632568
拉丁语,15,7.586666742960612
拉脱维亚语,1,6.5
挪威语,16,7.287499934434891
捷克语,10,7.429999971389771
斯基泰语,1,7.900000095367432
斯洛伐克语,1,6.5
斯洛文尼亚语,1,6.5
斯瓦希里语,1,6.5
旁遮普语,2,7.349999904632568
无对白,13,7.938461560469407
日语,672,7.327827397556532
晋语,1,6.0
普通话/国语,3,6.800000031789144
朝鲜语,2,6.849999904632568
杭州话,1,7.400000095367432
林加拉语,1,7.400000095367432
格陵兰语,1,7.900000095367432
格鲁吉亚语,3,8.166666507720947
格鲁吉亚语 Georgian,1,6.199999809265137
桑海语,1,7.0
武汉方言,2,8.000000238418579
武汉话,2,7.5
毛利语,1,7.599999904632568
汉语普通话,1061,6.045617341321106
沃洛夫语,1,6.300000190734863
河北井陉话,1,8.199999809265137
河南方言,3,6.933333396911621
河南话,3,7.333333333333333
法语,290,7.450000004932798
波兰语,20,7.289999985694886
波兰语 Polish,1,7.900000095367432
波尼语,1,7.900000095367432
波斯尼亚语,1,7.099999904632568
波斯语,8,7.912499904632568
泰卢固语,6,7.066666762034099
泰米尔语,8,7.4750001430511475
泰语,54,6.529629610202931
浙江方言,1,7.099999904632568
湖北方言,2,7.799999952316284
湖南方言,1,7.5
满语,2,7.200000047683716
爱尔兰语,2,8.200000047683716
爱沙尼亚语,3,8.133333365122477
班巴拉语,2,7.550000190734863
瑞典语,18,7.644444439146254
瑞士德语,4,7.924999833106995
瓜拉尼语,1,7.300000190734863
甘肃方言,1,8.300000190734863
白俄罗斯语,1,7.800000190734863
科萨语,4,7.575000047683716
立陶宛语,1,8.199999809265137
粤语,240,6.146250006556511
索马里语,2,8.300000190734863
维吾尔语,1,7.300000190734863
维语,1,7.300000190734863
缅甸语,3,7.5333333015441895
罗马尼亚语,5,7.240000057220459
美国手语,6,7.183333396911621
芬兰语,6,7.566666762034099
芬兰语 Finnish,1,8.100000381469727
苏格兰盖尔语,2,8.150000095367432
苏格兰盖立语,1,6.300000190734863
英语,1763,7.028190590749731
英语 法语,1,9.100000381469727
荷兰语,9,6.555555502573649
菲律宾语,2,7.25
萨卡语,1,8.100000381469727
萨摩亚语,1,6.300000190734863
萨米语,1,8.699999809265137
葡萄牙语,26,7.407692322364221
蒙古语,5,7.540000057220459
藏语,14,6.771428516932896
西北方言,1,7.699999809265137
西南方言,1,7.800000190734863
西安话,1,8.199999809265137
西班牙语,143,7.286013996684468
贵州方言,4,7.100000023841858
贵州独山话,1,8.899999618530273
贵州话,1,8.100000381469727
赛德克语,3,8.833333333333334
越南语,6,7.183333396911621
那不勒斯语,1,8.0
重庆方言,1,7.599999904632568
重庆话,1,7.199999809265137
闽南话,1,8.399999618530273
闽南语,30,7.48333330154419
闽南语 Hokkien,2,5.700000047683716
阿伊努语,1,8.199999809265137
阿姆哈拉语,1,9.100000381469727
阿尔巴尼亚语,2,7.550000190734863
阿拉伯语,35,7.580000032697405
陕西方言,3,7.8666666348775225
陕西话,3,7.3666666348775225
韩国手语,1,8.0
韩国语,1,5.800000190734863
韩语,310,7.035806458996189
马其顿语,1,8.899999618530273
马拉雅拉姆语,4,7.524999976158142
马来语,7,7.442857197352818
高棉语,1,7.300000190734863
